9.8s 1 0.00s - Debugger warning: It seems that frozen modules are being used, which may
9.8s 2 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
9.8s 3 0.00s - to python to disable frozen modules.
9.8s 4 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
10.6s 5 0.00s - Debugger warning: It seems that frozen modules are being used, which may
10.6s 6 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
10.6s 7 0.00s - to python to disable frozen modules.
10.6s 8 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
13.3s 9 [1/7] config loaded
13.3s 10 models=5  workers=6  budget={'openrouter': 8.5, 'deepseek': 8.5}
13.4s 11 [2/7] openrouter  key OK
13.4s 12 [2/7] deepseek    key OK
13.4s 13 [2/7] endpoints ready
14.8s 14 [3/7] test split loaded: 1093 articles
14.8s 15 [3/7] medium-length (400-1000w): human 448 | AI 410
14.8s 16 [3/7] !! supply short -> N reduced 100 -> 82 (widen the band to raise it)
14.8s 17 [3/7]   qwen      polish    -> 82 articles
14.8s 18 [3/7]   qwen      humanize  -> 82 articles
14.8s 19 [3/7]   gemini    polish    -> 82 articles
14.8s 20 [3/7]   gemini    humanize  -> 82 articles
14.8s 21 [3/7]   gpt       polish    -> 82 articles
14.8s 22 [3/7]   gpt       humanize  -> 82 articles
14.8s 23 [3/7]   claude    polish    -> 82 articles
14.8s 24 [3/7]   claude    humanize  -> 82 articles
14.8s 25 [3/7]   deepseek  polish    -> 82 articles
14.8s 26 [3/7]   deepseek  humanize  -> 82 articles
14.8s 27 [3/7] total planned: 820 generations
14.8s 28 [4/7] prompts ready
20.8s 29 [5/7] caller ready (thread-safe, retries=3)
20.8s 30 [6/7] resume: 0 generations already present
20.8s 31 [6/7] 820 jobs queued | workers=6
20.8s 32 ----------------------------------------------------------------------------------------------------
25.1s 33 [   1/820] OK   gemini   humanize   - AI_opus_HA_01340           in 1148 out  743 $0.0022   4.3s | OR $0.002 DS $0.000 | 14.1/min ETA 58m
25.2s 34 [   2/820] OK   gemini   humanize   - AI_qwen_HA_00817           in 1215 out 1026 $0.0029   4.3s | OR $0.005 DS $0.000 | 27.6/min ETA 30m
29.4s 35 [   3/820] OK   gemini   polish   L50 HU_HA_03330                in 2135 out 2175 $0.0061   8.6s | OR $0.011 DS $0.000 | 20.9/min ETA 39m
32.9s 36 [   4/820] OK   deepseek polish   L50 HU_HA_00389                in 1107 out  961 $0.0004   7.7s | OR $0.011 DS $0.000 | 19.9/min ETA 41m
36.4s 37 [   5/820] OK   qwen     polish   L50 HU_HA_00598                in 1087 out  933 $0.0045  15.5s | OR $0.016 DS $0.000 | 19.3/min ETA 42m
43.0s 38 [   6/820] OK   claude   polish   L10 HU_HA_00463                in 2029 out 2525 $0.0147  22.2s | OR $0.030 DS $0.000 | 16.2/min ETA 50m
44.3s 39 [   7/820] OK   qwen     humanize   - AI_deepseek_HA_01639       in 1562 out 1236 $0.0060  23.5s | OR $0.036 DS $0.000 | 17.9/min ETA 46m
47.2s 40 [   8/820] OK   qwen     humanize   - AI_qwen_HA_00194           in 1188 out 1159 $0.0054  22.1s | OR $0.042 DS $0.000 | 18.2/min ETA 45m
50.1s 41 [   9/820] OK   claude   polish   L75 HU_HA_01276                in 2253 out 2168 $0.0131  20.7s | OR $0.055 DS $0.000 | 18.5/min ETA 44m
52.3s 42 [  10/820] OK   gpt      humanize   - AI_opus_HA_02609           in 1382 out 1096 $0.0025  15.9s | OR $0.057 DS $0.000 | 19.1/min ETA 42m
56.2s 43 [  11/820] OK   deepseek polish   L10 HU_HA_01003                in 1248 out 1094 $0.0005   9.0s | OR $0.057 DS $0.001 | 18.7/min ETA 43m
56.4s 44 [  12/820] OK   deepseek polish   L10 HU_HA_02416                in 1919 out 1761 $0.0008  13.4s | OR $0.057 DS $0.002 | 20.2/min ETA 40m
58.2s 45 [  13/820] OK   gpt      humanize   - AI_opus_HA_00168           in  910 out  877 $0.0020  13.9s | OR $0.059 DS $0.002 | 20.9/min ETA 39m
65.0s 46 [  14/820] OK   deepseek humanize   - AI_sonnet_HA_01231         in 1191 out 1076 $0.0005   8.5s | OR $0.059 DS $0.002 | 19.0/min ETA 42m
65.7s 47 [  15/820] OK   qwen     polish   L75 HU_HA_03462                in 2070 out 1775 $0.0085  32.8s | OR $0.068 DS $0.002 | 20.1/min ETA 40m
66.8s 48 [  16/820] OK   gpt      polish   L75 HU_HA_00293                in  916 out  869 $0.0020  10.7s | OR $0.070 DS $0.002 | 20.9/min ETA 39m
68.0s 49 [  17/820] OK   deepseek polish   L10 HU_HA_02565                in 2192 out 2032 $0.0009  15.7s | OR $0.070 DS $0.003 | 21.6/min ETA 37m
70.0s 50 [  18/820] OK   qwen     humanize   - AI_deepseek_HA_01804       in 1307 out 1172 $0.0056  19.9s | OR $0.076 DS $0.003 | 22.0/min ETA 36m
73.2s 51 [  19/820] OK   gemini   polish   L75 HU_HA_00527                in 1021 out  976 $0.0027   3.3s | OR $0.078 DS $0.003 | 21.7/min ETA 37m
78.7s 52 [  20/820] OK   claude   humanize   - AI_sonnet_HA_00890         in 2266 out 2165 $0.0131  20.5s | OR $0.091 DS $0.003 | 20.7/min ETA 39m
79.3s 53 [  21/820] OK   deepseek humanize   - AI_opus_HA_01723           in 1653 out 1430 $0.0006  12.5s | OR $0.091 DS $0.004 | 21.5/min ETA 37m
86.3s 54 [  22/820] OK   qwen     polish   L50 HU_HA_01915                in 1349 out 1238 $0.0059  20.6s | OR $0.097 DS $0.004 | 20.2/min ETA 40m
88.0s 55 [  23/820] OK   deepseek humanize   - AI_qwen_HA_00999           in 1236 out  905 $0.0004   8.7s | OR $0.097 DS $0.004 | 20.5/min ETA 39m
89.1s 56 [  24/820] OK   qwen     polish   L75 HU_HA_00744                in 1252 out 1289 $0.0060  24.2s | OR $0.103 DS $0.004 | 21.1/min ETA 38m
89.5s 57 [  25/820] OK   claude   polish   L50 HU_HA_00443                in 1919 out 2249 $0.0132  21.5s | OR $0.116 DS $0.004 | 21.8/min ETA 36m
92.3s 58 [  26/820] OK   qwen     polish   L10 HU_HA_00893                in 1347 out 1199 $0.0057  19.1s | OR $0.122 DS $0.004 | 21.8/min ETA 36m
103.2s 59 [  27/820] OK   claude   humanize   - AI_deepseek_HA_02362       in 2952 out 2518 $0.0155  24.5s | OR $0.138 DS $0.004 | 19.7/min ETA 40m
103.4s 60 [  28/820] OK   qwen     humanize   - AI_sonnet_HA_00785         in 1118 out  899 $0.0044  17.2s | OR $0.142 DS $0.004 | 20.3/min ETA 39m
105.6s 61 [  29/820] OK   gpt      polish   L10 HU_HA_01235                in 1028 out 1104 $0.0025  16.1s | OR $0.145 DS $0.004 | 20.5/min ETA 39m
112.5s 62 [  30/820] OK   qwen     humanize   - AI_qwen_HA_00781           in 1325 out 1147 $0.0055  20.2s | OR $0.150 DS $0.004 | 19.6/min ETA 40m
116.9s 63 [  31/820] OK   claude   humanize   - AI_gemini_HA_01534         in 3128 out 2890 $0.0176  28.9s | OR $0.168 DS $0.004 | 19.4/min ETA 41m
117.1s 64 [  32/820] OK   qwen     polish   L75 HU_HA_00026                in 1113 out  926 $0.0045  13.7s | OR $0.172 DS $0.004 | 19.9/min ETA 40m
120.4s 65 [  33/820] OK   gpt      polish   L10 HU_HA_03021                in 1919 out 1996 $0.0045  31.3s | OR $0.177 DS $0.004 | 19.9/min ETA 40m
123.5s 66 [  34/820] OK   gpt      polish   L10 HU_HA_00558                in  980 out 1133 $0.0025  17.9s | OR $0.179 DS $0.004 | 19.9/min ETA 40m
